Country,Code,Year,Homicide Rate
Albania,ALB,1997,12.290573
Antigua and Barbuda,ATG,2004,7.256631
Argentina,ARG,2002,3.5657713
Armenia,ARM,1992,5.2507257
Australia,AUS,1977,1.485948
Austria,AUT,1956,1.8422394
Azerbaijan,AZE,1994,32.253284
Bahamas,BHS,2014,12.635237
Bahrain,BHR,1997,0.3773243
Barbados,BRB,1992,8.38233
Belarus,BLR,1996,2.6756918
Belgium,BEL,1999,1.6514179
Belize,BLZ,2010,14.105699
Bosnia and Herzegovina,BIH,1987,0.06633772
Brazil,BRA,2017,18.498344
Brunei,BRN,2000,2.044112
Bulgaria,BGR,1982,1.6003213
Canada,CAN,1979,1.5717214
Cape Verde,CPV,2011,5.7169995
Chile,CHL,2009,2.596417
Colombia,COL,1994,27.269388
Costa Rica,CRI,2011,4.4607444
Croatia,HRV,1992,1.7639385
Cuba,CUB,1995,3.0946124
Cyprus,CYP,2018,1.5360866
Czechia,CZE,1994,1.249816
Denmark,DNK,1951,2.031669
Dominica,DMA,2010,17.743868
Dominican Republic,DOM,2015,5.7171974
Ecuador,ECU,2004,4.827169
Egypt,EGY,1973,0.83815736
El Salvador,SLV,2015,37.792667
Estonia,EST,1993,6.5638795
Fiji,FJI,2002,1.8529646
Finland,FIN,1953,2.4085083
France,FRA,1959,0.71181625
French Guiana,GUF,2009,6.0444875
Georgia,GEO,1989,1.2945538
Germany,DEU,1991,0.7634186
Greece,GRC,1962,0.59202546
Grenada,GRD,2013,2.618418
Guadeloupe,GLP,2008,3.277023
Guatemala,GTM,1981,14.042339
Guyana,GUY,2014,5.5388126
Hong Kong,HKG,1976,2.3356361
Hungary,HUN,1968,1.8603344
Iceland,ISL,1953,4.990352
Iran,IRN,2016,1.7107841
Iraq,IRQ,2008,4.7525883
Ireland,IRL,1981,2.5745137
Israel,ISR,2002,3.8424525
Italy,ITA,1990,0.9248397
Jamaica,JAM,2009,16.718885
Japan,JPN,1950,2.252354
Jordan,JOR,2009,0.9898941
Kazakhstan,KAZ,1994,3.4979763
Kuwait,KWT,1972,1.2166511
Kyrgyzstan,KGZ,1990,2.3073874
Latvia,LVA,1997,5.7596354
Lebanon,LBN,2019,0.1905318
Lithuania,LTU,1998,3.0256684
Luxembourg,LUX,2001,3.6912286
Maldives,MDV,2016,2.1994457
Malta,MLT,2001,2.822998
Martinique,MTQ,2006,3.5067418
Mauritius,MUS,2005,1.9710114
Mayotte,MYT,2016,0.71427554
Mexico,MEX,1955,7.163971
Moldova,MDA,1992,3.5452375
Mongolia,MNG,2016,0.8786003
Montenegro,MNE,2005,1.6876973
Netherlands,NLD,1997,0.8929369
New Zealand,NZL,1977,2.21073
Nicaragua,NIC,2005,4.079056
North Macedonia,MKD,2003,1.4596883
Norway,NOR,2011,4.410281
Panama,PAN,2009,10.603322
Paraguay,PRY,2010,3.8363256
Peru,PER,2014,1.1892512
Philippines,PHL,1969,3.3398623
Poland,POL,1994,0.6949604
Portugal,PRT,1995,0.8168819
Puerto Rico,PRI,1994,16.146576
Reunion,REU,2004,1.9621309
Romania,ROU,1990,1.4788463
Russia,RUS,2002,5.6909757
Saint Kitts and Nevis,KNA,2016,35.984165
Saint Lucia,LCA,2014,9.441266
Saint Vincent and the Grenadines,VCT,2007,14.631291
Sao Tome and Principe,STP,1987,1.5911912
Serbia,SRB,2005,1.1841207
Seychelles,SYC,2002,9.999666
Singapore,SGP,1981,1.9529406
Slovakia,SVK,1993,0.80466616
Slovenia,SVN,1995,1.7359738
South Africa,ZAF,2016,3.786066
South Korea,KOR,1998,1.0356278
Spain,ESP,2004,0.5257129
Sri Lanka,LKA,1983,1.6715497
Suriname,SUR,1985,3.091397
Sweden,SWE,1956,1.2745063
Switzerland,CHE,1951,2.4041615
Syria,SYR,2002,1.1289073
Tajikistan,TJK,1993,5.4202175
Thailand,THA,1979,6.4911437
Trinidad and Tobago,TTO,2008,17.557251
Turkey,TUR,2013,0.5985762
Turkmenistan,TKM,1988,1.454046
Ukraine,UKR,2000,3.0210311
United Kingdom,GBR,1974,1.2145
United States,USA,1993,6.7453375
Uruguay,URY,2018,5.3604536
Uzbekistan,UZB,1982,1.4673228
Venezuela,VEN,2016,19.935886
